# t 	 x 	 y 	 z
25.313	-4.25937	-2.62655	24.8129
25.314	-4.24327	-2.63764	24.758
25.315	-4.22744	-2.64889	24.7033
25.316	-4.21188	-2.66032	24.6488
25.317	-4.19659	-2.67191	24.5944
25.318	-4.18156	-2.68367	24.5401
25.319	-4.16681	-2.69559	24.486
25.32	-4.15232	-2.70767	24.4321
25.321	-4.13809	-2.71991	24.3783
25.322	-4.12413	-2.73231	24.3247
25.323	-4.11043	-2.74486	24.2712
25.324	-4.09699	-2.75758	24.2179
25.325	-4.08382	-2.77044	24.1648
25.326	-4.0709	-2.78346	24.1118
25.327	-4.05824	-2.79663	24.0589
25.328	-4.04584	-2.80996	24.0062
25.329	-4.03369	-2.82343	23.9537
25.33	-4.02181	-2.83705	23.9014
25.331	-4.01017	-2.85082	23.8492
25.332	-3.99879	-2.86474	23.7972
25.333	-3.98766	-2.8788	23.7453
25.334	-3.97678	-2.89301	23.6936
25.335	-3.96615	-2.90736	23.642
25.336	-3.95577	-2.92186	23.5907
25.337	-3.94564	-2.9365	23.5394
25.338	-3.93575	-2.95128	23.4884
25.339	-3.92611	-2.9662	23.4375
25.34	-3.91672	-2.98126	23.3868
25.341	-3.90757	-2.99647	23.3363
25.342	-3.89866	-3.01181	23.2859
25.343	-3.88999	-3.02729	23.2357
25.344	-3.88156	-3.04291	23.1856
25.345	-3.87338	-3.05867	23.1357
25.346	-3.86543	-3.07457	23.086
25.347	-3.85772	-3.0906	23.0365
25.348	-3.85025	-3.10678	22.9871
25.349	-3.84301	-3.12308	22.9379
25.35	-3.836	-3.13953	22.8889
25.351	-3.82923	-3.15611	22.8401
25.352	-3.8227	-3.17282	22.7914
25.353	-3.81639	-3.18967	22.7429
25.354	-3.81032	-3.20666	22.6945
25.355	-3.80447	-3.22378	22.6464
25.356	-3.79886	-3.24104	22.5984
25.357	-3.79347	-3.25843	22.5506
25.358	-3.78831	-3.27595	22.503
25.359	-3.78337	-3.29361	22.4555
25.36	-3.77866	-3.31141	22.4083
25.361	-3.77418	-3.32934	22.3612
25.362	-3.76992	-3.3474	22.3142
25.363	-3.76588	-3.3656	22.2675
25.364	-3.76206	-3.38394	22.221
25.365	-3.75846	-3.40241	22.1746
25.366	-3.75508	-3.42101	22.1284
25.367	-3.75193	-3.43975	22.0824
25.368	-3.74899	-3.45863	22.0365
25.369	-3.74626	-3.47764	21.9909
25.37	-3.74376	-3.49678	21.9454
25.371	-3.74147	-3.51607	21.9002
25.372	-3.73939	-3.53549	21.8551
25.373	-3.73753	-3.55504	21.8102
25.374	-3.73589	-3.57474	21.7655
25.375	-3.73445	-3.59457	21.7209
25.376	-3.73323	-3.61454	21.6766
25.377	-3.73222	-3.63465	21.6324
25.378	-3.73142	-3.65489	21.5885
25.379	-3.73083	-3.67528	21.5447
25.38	-3.73045	-3.6958	21.5011
25.381	-3.73028	-3.71647	21.4577
25.382	-3.73031	-3.73727	21.4145
25.383	-3.73056	-3.75822	21.3715
25.384	-3.731	-3.7793	21.3287
25.385	-3.73166	-3.80053	21.2861
25.386	-3.73252	-3.82191	21.2437
25.387	-3.73358	-3.84342	21.2015
25.388	-3.73485	-3.86508	21.1594
25.389	-3.73632	-3.88688	21.1176
25.39	-3.738	-3.90883	21.076
25.391	-3.73988	-3.93093	21.0346
25.392	-3.74195	-3.95317	20.9933
25.393	-3.74423	-3.97556	20.9523
25.394	-3.74671	-3.99809	20.9115
25.395	-3.7494	-4.02078	20.8709
25.396	-3.75228	-4.04361	20.8305
25.397	-3.75536	-4.06659	20.7903
25.398	-3.75863	-4.08973	20.7503
25.399	-3.76211	-4.11301	20.7105
25.4	-3.76578	-4.13645	20.6709
25.401	-3.76965	-4.16004	20.6315
25.402	-3.77372	-4.18379	20.5924
25.403	-3.77799	-4.20769	20.5534
25.404	-3.78245	-4.23174	20.5147
25.405	-3.7871	-4.25595	20.4762
25.406	-3.79195	-4.28032	20.4379
25.407	-3.797	-4.30485	20.3998
25.408	-3.80224	-4.32953	20.3619
25.409	-3.80768	-4.35438	20.3242
25.41	-3.8133	-4.37938	20.2868
25.411	-3.81913	-4.40455	20.2496
25.412	-3.82514	-4.42988	20.2126
25.413	-3.83135	-4.45538	20.1758
25.414	-3.83775	-4.48104	20.1393
25.415	-3.84434	-4.50686	20.103
25.416	-3.85113	-4.53285	20.0669
25.417	-3.85811	-4.55901	20.031
25.418	-3.86528	-4.58534	19.9954
25.419	-3.87264	-4.61183	19.96
25.42	-3.88019	-4.6385	19.9248
25.421	-3.88793	-4.66534	19.8899
25.422	-3.89586	-4.69235	19.8551
25.423	-3.90399	-4.71953	19.8207
25.424	-3.9123	-4.74689	19.7864
25.425	-3.92081	-4.77442	19.7524
25.426	-3.9295	-4.80213	19.7187
25.427	-3.93838	-4.83002	19.6852
25.428	-3.94746	-4.85808	19.6519
25.429	-3.95672	-4.88633	19.6189
25.43	-3.96618	-4.91475	19.5861
25.431	-3.97582	-4.94336	19.5536
25.432	-3.98566	-4.97215	19.5213
25.433	-3.99568	-5.00113	19.4893
25.434	-4.00589	-5.03029	19.4575
25.435	-4.01629	-5.05963	19.426
25.436	-4.02688	-5.08916	19.3947
25.437	-4.03766	-5.11888	19.3637
25.438	-4.04863	-5.14879	19.3329
25.439	-4.05979	-5.17889	19.3024
25.44	-4.07114	-5.20918	19.2722
25.441	-4.08268	-5.23967	19.2422
25.442	-4.09441	-5.27034	19.2125
25.443	-4.10633	-5.30121	19.1831
25.444	-4.11843	-5.33228	19.154
25.445	-4.13073	-5.36354	19.1251
25.446	-4.14322	-5.39501	19.0964
25.447	-4.15589	-5.42667	19.0681
25.448	-4.16876	-5.45853	19.04
25.449	-4.18181	-5.49059	19.0123
25.45	-4.19506	-5.52285	18.9848
25.451	-4.2085	-5.55532	18.9575
25.452	-4.22212	-5.58799	18.9306
25.453	-4.23594	-5.62086	18.9039
25.454	-4.24995	-5.65394	18.8776
25.455	-4.26415	-5.68723	18.8515
25.456	-4.27854	-5.72073	18.8257
25.457	-4.29312	-5.75443	18.8003
25.458	-4.30789	-5.78835	18.7751
25.459	-4.32286	-5.82248	18.7502
25.46	-4.33801	-5.85682	18.7256
25.461	-4.35336	-5.89137	18.7013
25.462	-4.3689	-5.92614	18.6774
25.463	-4.38463	-5.96112	18.6537
25.464	-4.40056	-5.99632	18.6304
25.465	-4.41668	-6.03174	18.6073
25.466	-4.43299	-6.06737	18.5846
25.467	-4.44949	-6.10323	18.5622
25.468	-4.46619	-6.1393	18.5402
25.469	-4.48308	-6.17559	18.5184
